,title,year,rating,content,link
526,527. World of Dance,2017–2020,"7.3
 (1.4K)","Dancers perform in front of a panel of judges to compete for $1 million and the title of ""Best in the World.""",https://www.imdb.com/title/tt5895884/?ref_=sr_t_527
527,528. 90 Day Fiancé UK,2022–,"6.1
 (267)",Follows 8 couples as they meet face-to-face for the first time in the UK and have 90 days to get married or return to their respective homes.,https://www.imdb.com/title/tt21034492/?ref_=sr_t_528
528,529. Tex Mex Motors,2023–,"6.6
 (779)","Junkers turn into jewels when they're in the hands of these pros, who bring cars from Mexico to El Paso for radical restorations in this lively series.",https://www.imdb.com/title/tt27738618/?ref_=sr_t_529
529,530. Love Like a K-Drama,2023–,"6.3
 (118)","Pairs of actors search for romantic chemistry while trying to land lead roles in Korean dramas; dreams, romance and friendship intertwine in this dating series, leading to love and heartbreak.",https://www.imdb.com/title/tt28628302/?ref_=sr_t_530
530,531. Secrets of the Zoo,2018–,"8.3
 (362)","With nearly 6,000 veterinary cases and well over 100 births each year, the team at the Columbus Zoo has no shortage of incredible drama.",https://www.imdb.com/title/tt8879238/?ref_=sr_t_531
531,532. The Daytripper,2009–,"8.1
 (63)","Exploring Texas isn't a easy thing, it's a lifetime endeavor. But what if you didn't have a lifetime? What if you had only one day? That's where The Daytripper comes in.",https://www.imdb.com/title/tt1912888/?ref_=sr_t_532
532,533. Cast Castle,2021–,"7.1
 (48)",,https://www.imdb.com/title/tt14690428/?ref_=sr_t_533
533,534. How to Build a Sex Room,2022,"7.0
 (1.3K)",Couples looking for more spice in the bedroom hire luxury interior designer Melanie Rose to create stylish spaces where they can carry out any fantasy they wish.,https://www.imdb.com/title/tt21030224/?ref_=sr_t_534
534,535. Comic Book Men,2012–2018,"7.7
 (5.6K)",An unscripted series set in Smith's iconic comic shop Jay and Silent Bob's Secret Stash and captures the world of the neighborhood comic book store and fanboy culture.,https://www.imdb.com/title/tt2174367/?ref_=sr_t_535
535,536. Insane Pools Off the Deep End,2015–2019,"7.2
 (322)",Lucas Congdon creates lagoons that will blow your mind.,https://www.imdb.com/title/tt4719894/?ref_=sr_t_536
536,537. The Man,2012–,"7.6
 (25)","Sexy dating game show where four usually male contestants compete to impress two female judges in three contests: The Kiss, The Game, and The Close. One contestant is eliminated after each contestant leaving only The Man.",https://www.imdb.com/title/tt3375994/?ref_=sr_t_537
537,538. Restoring Galveston: The Inn,2023,"9.0
 (9)","Michael and Ashley Cordray restore a 1912 boarding house, adding custom elements along the way to transform it into a one-of-a-kind hotel in Galveston, Texas.",https://www.imdb.com/title/tt30817103/?ref_=sr_t_538
538,539. Last Comic Standing,2003–2015,"6.4
 (1.6K)",The comics from season one face off against the comics from season two.,https://www.imdb.com/title/tt0364829/?ref_=sr_t_539
539,540. Rio Shore,2021–,"7.2
 (71)","In Rio Shore, 10 young partygoers from different regions of Rio de Janeiro go to Buzios to enjoy an unforgettable vacation with lots of parties, confusion and friendships for life.",https://www.imdb.com/title/tt14874844/?ref_=sr_t_540
540,541. Salvage Kings,2019–,"7.8
 (127)","Ted Finch and his team of salvage experts hunt for rare artifacts on Salvage Kings, rescuing treasures from oceans, abandoned buildings, and treacherous terrain. Witness their thrilling missions to save history from being lost forever.",https://www.imdb.com/title/tt11420972/?ref_=sr_t_541
541,542. Bring It!,2014–,"6.5
 (594)","Bring It! is a new dance reality show which focuses on the dance team, The Dancing Dolls, from Mississippi. They are a competition dance team, and their style is, ""Hip-Hop Majorettes."" This show is produced by Lifetime, and is lively, and the girls are fun to watch. Coach D is a strong woman, with a no-nonsense personality, and drives the girls under her to be the best they can be. Still, she has a human side, and she does care about the girls, and tries to be supportive of them (something we don't see too often in another, well-known dance reality show). Further, the ""drama"" of the dance moms is surprisingly low-key when compared to another reality dance show, also produced by Lifetime. Give this show a chance. It will surprise you, as the dancing is different from what you are likely used to watching.",https://www.imdb.com/title/tt3704280/?ref_=sr_t_542
542,543. Largados e Pelados Brasil,2021–,"7.8
 (60)","For 21 days, men and women - who know each other naked on camera - will pair up and be challenged to survive in one of the most inhospitable environments in the world.",https://www.imdb.com/title/tt16174892/?ref_=sr_t_543
543,544. The People's Court,1981–1993,"6.5
 (360)","Retired judge Joseph Wapner decides actual small-claims court cases in a California studio. After each case is decided, the parties are often interviewed to obtain their reactions.",https://www.imdb.com/title/tt0081916/?ref_=sr_t_544
544,545. Sexcetera,1998–,"6.8
 (168)",A one-hour monthly news magazine covering the world of sex.,https://www.imdb.com/title/tt0290373/?ref_=sr_t_545
545,546. Morimoto's Sushi Master,2023–,"7.9
 (44)","The six-episode series highlights the skill, ingredients, delicacy and talent needed to perfect the art of sushi-making.",https://www.imdb.com/title/tt27836820/?ref_=sr_t_546
546,547. All Girls Garage,2012–,"6.0
 (169)",ALL GIRLS GARAGE taps into expertise of three women working behind gears at an automotive shop.,https://www.imdb.com/title/tt2762476/?ref_=sr_t_547
547,548. Wife Swap,2019–2020,"6.4
 (103)","Families from the Metro Atlanta area swap the lives of the wife. In this social experiment, they experience the different lives of other families and then flip the script and have the new family live their ways.",https://www.imdb.com/title/tt9167798/?ref_=sr_t_548
548,549. Unexpected Business,2021–,"8.5
 (125)","A variety show in which Cha Tae Hyun and Jo In Sung transform into the bosses of a supermarket. The show will give these two men, who have lived their whole lives in the city, a chance to experience life in the countryside. They will blend into the neighborhood and experience the ups and downs of operating a supermarket that is busy at times and quiet at other times. A key point of the show is the beautiful landscapes in the countryside, as well as a look into the diverse needs of the people who come to the supermarket. (Source: Soompi)",https://www.imdb.com/title/tt14156204/?ref_=sr_t_549
549,550. Beachfront Bargain Hunt: Renovation,2015–,"7.3
 (47)","Families tackle the tough job of transforming their new vacation properties into relaxing getaways. With a little imagination and a lot of muscle, they'll turn their affordable beach home into a vacation oasis.",https://www.imdb.com/title/tt5156526/?ref_=sr_t_550
550,551. You vs. Wild,2019,"6.6
 (2.9K)","In this interactive series, you'll make key decisions to help Bear Grylls survive, thrive and complete missions in the harshest environments on Earth.",https://www.imdb.com/title/tt10044952/?ref_=sr_t_551
551,552. The Pet Set,1971–1972,"8.8
 (78)","Betty White hosted this syndicated series in which celebrities would drop by with their pets. Also the show had discussions concerning pet care, ecology and wildlife preservation.",https://www.imdb.com/title/tt0300838/?ref_=sr_t_552
552,553. Jailbirds,2019,"7.1
 (1.4K)","At the Sacramento County Jail, incarcerated women fight the power and one another as they try to make the best of life - and love - on the inside.",https://www.imdb.com/title/tt10243628/?ref_=sr_t_553
553,554. Hoochie Daddies,2022–,"6.9
 (47)","8 of the baddest masculine identifying women to Jacksonville FL., are put into one house to live, turn up and compete for a Grand Prize. Emotions run high when the competition starts to get intense.",https://www.imdb.com/title/tt26929334/?ref_=sr_t_554
554,555. Hot Babes Doing Stuff Naked,2007–2010,"7.6
 (29)",,https://www.imdb.com/title/tt8014154/?ref_=sr_t_555
555,556. Drag Race España,2021–,"8.6
 (2.8K)",Spanish Drag superstar Supremme Deluxe presides as ten of Spain's most talented queens compete to be crowned Spain's first Drag Race Superstar.,https://www.imdb.com/title/tt13606528/?ref_=sr_t_556
556,557. Rob & Big,2006–2008,"7.5
 (4.4K)","Professional skateboarder Rob Dyrdek and his friend Christopher ""Big Black"" Boykin live together in the Hollywood Hills.",https://www.imdb.com/title/tt0791283/?ref_=sr_t_557
557,558. Grand Designs Australia,2010–2023,"7.2
 (361)",Each episode is about the host visiting people who have a dream to build a house and how they bring the build to fruition. We see their trials and tribulations along the way. Each episode is a separate stand-alone story.,https://www.imdb.com/title/tt1677691/?ref_=sr_t_558
558,559. Kings of Pain,2019–,"7.2
 (655)",Two Fearless Men Getting Stung and Bit by the Most Dangerous Animals in the World to Create the Ultimate Guide to Measuring Pain.,https://www.imdb.com/title/tt11091524/?ref_=sr_t_559
559,560. The Great British Menu,2006–,"7.5
 (468)",Top British chefs compete against each other and are scored by a panel of acclaimed judges for the chance to cook one course of a four course banquet.,https://www.imdb.com/title/tt0977628/?ref_=sr_t_560
560,"561. You, Me & My Ex",2021–,"6.3
 (107)",Explores prickly dynamics between couples whose exes are still in the picture.,https://www.imdb.com/title/tt14812498/?ref_=sr_t_561
561,562. 911 Crisis Center,2021–,"7.8
 (137)",An up-close and personal look at a team of 911 dispatchers at a call center just outside of Cleveland where they take on a never-ending bombardment of panic-stricken callers and save lives.,https://www.imdb.com/title/tt15829628/?ref_=sr_t_562
562,"563. Heartland Docs, DVM",2020–,"8.8
 (186)","In picturesque rural Nebraska, the husband and wife veterinary team of Drs. Ben and Erin Schroeder cares for the region's many animals in need.",https://www.imdb.com/title/tt11783490/?ref_=sr_t_563
563,564. The Masked Singer South Africa,2023–,"8.6
 (10)",,https://www.imdb.com/title/tt27446709/?ref_=sr_t_564
564,565. Echte Gooische Moeders,2020–,"7.1
 (9)","10 years after their hit reality show, the ""Echte Gooische Meisjes"" are back as moms. Again we follow the rich young mothers from the Gooi, but now with their ups and downs as mothers.",https://www.imdb.com/title/tt21651048/?ref_=sr_t_565
565,566. Top Chef: Just Desserts,2010–,"6.5
 (745)","A spin-off of ""Top Chef,"" in which the express focus is desserts and the contestants are pastry chefs.",https://www.imdb.com/title/tt1720607/?ref_=sr_t_566
566,567. Wardens,2010–,"7.9
 (13)","Watch as these brave men and women defend public lands from poachers and other environmental hazards, brave treacherous whitewater rapids in the remote grizzly bear country. It's all in a day's work for these protectors of the outdoors.",https://www.imdb.com/title/tt1814589/?ref_=sr_t_567
567,568. Friday Night Tykes,2014–,"7.0
 (356)",Peewee football is taken to the big screen in Texas.,https://www.imdb.com/title/tt3467018/?ref_=sr_t_568
568,569. The Zoo,2017–,"8.9
 (480)",An in-depth behind the scenes look at the animals of the Bronx Zoo.,https://www.imdb.com/title/tt6440422/?ref_=sr_t_569
569,570. Ultimate Cowboy Showdown,2019–,"8.6
 (192)",Top cowboys compete for a chance to win a herd of cattle and a lifetime of bragging rights. Hosted by country music icon Trace Adkins.,https://www.imdb.com/title/tt11083102/?ref_=sr_t_570
570,571. Foursome,2006–,"6.4
 (94)","A reality show where four contestants (two male and two female) stay in a huge house together where they interact, build relationships and have hardcore sex.",https://www.imdb.com/title/tt0945090/?ref_=sr_t_571
571,572. Open,2022–,"6.1
 (80)",Social experiment exploring whether relationships can thrive without monogamy. A group of currently monogamous couples test if the idea of having sex with other people is at odds with maintaining a committed relationship.,https://www.imdb.com/title/tt15052428/?ref_=sr_t_572
572,573. Kingdom: Legendary War,2021–,"7.7
 (149)","It is known as the sequel and the male counterpart of Queendom. A preliminary competition titled Road to Kingdom aired from April 30 to June 18, 2020. The Boyz won the competition, securing a spot in Kingdom.",https://www.imdb.com/title/tt13940632/?ref_=sr_t_573
573,574. Totally Nude Aerobics,1997,"6.1
 (285)","The same group of women perform an aerobics routine twice, once with leotards on, and once with them off.",https://www.imdb.com/title/tt0460585/?ref_=sr_t_574
574,575. Contraband: Seized at the Border,2023–,"8.3
 (80)",The series follows the work of Customs and Border Protection officers on the border between the United States and Mexico in their ongoing battle against the smugglers of contraband across the border - including the Mexican drug cartels.,https://www.imdb.com/title/tt28184020/?ref_=sr_t_575
575,576. ASMR Darling,2016–,"7.8
 (45)",A series of ASMR videos on Taylor Darling's YouTube page.,https://www.imdb.com/title/tt6520964/?ref_=sr_t_576
576,577. Ask This Old House,2002–,"8.0
 (400)","Tom Silva, Richard Trethewey, Roger Cook and host Kevin O'Connor, the experts of Ask This Old House, travel the country making house calls in order to answer homeowner questions and everyday home improvement projects.",https://www.imdb.com/title/tt0369081/?ref_=sr_t_577
577,578. The Moaning of Life,2013–2015,"8.1
 (6.7K)",Karl is faced with the different aspects of life by travelling around the world and discovering how different people face life's challenges.,https://www.imdb.com/title/tt3277670/?ref_=sr_t_578
578,579. Just for Laughs Gags,2001–,"7.7
 (1.1K)","Silent prank show similar to Candid Camera filmed in Montréal, Canada where unsuspecting people get roped into comedic situations.",https://www.imdb.com/title/tt2486436/?ref_=sr_t_579
579,580. The World's Most Amazing Vacation Rentals,2021,"6.8
 (1.6K)","With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",https://www.imdb.com/title/tt14691382/?ref_=sr_t_580
580,581. Túnel do Amor,2022–,"7.2
 (21)",,https://www.imdb.com/title/tt21922614/?ref_=sr_t_581
581,582. Jail: Las Vegas,2015–,"7.7
 (107)",,https://www.imdb.com/title/tt4453314/?ref_=sr_t_582
582,583. Dragons' Den,2006–,"7.1
 (1.1K)",A group of business people listen to sales pitches and decide whether to finance their business or not.,https://www.imdb.com/title/tt1170858/?ref_=sr_t_583
583,584. Run's House,2005–,"6.7
 (970)","Joseph Simmons, best known for as a member of Run-DMC, offers a glimpse into his present-day life, where the minister and his wife raise a family of five kids.",https://www.imdb.com/title/tt0470659/?ref_=sr_t_584
584,585. Love Connection,1983–1998,"6.2
 (265)","This game show introduced a bachelor or bachelorette to three prospective dates, each of whom gave a self-introduction. The audience would select the partner they thought was the most compatible. If the guest agreed with the audience's selection, the show would pay for the couple's first date. Afterwards, the couple would return to the show to tell everyone whether it had been a dream date or a nightmare.",https://www.imdb.com/title/tt0170968/?ref_=sr_t_585
585,586. Battle on the Mountain,2024–,"6.3
 (36)","Features three talented teams competing to update comparable alpine homes in Breckenridge, Colorado. In an attempt to win bragging rights and a $50,000 cash reward, each team will compete to add the most value to their property.",https://www.imdb.com/title/tt30407466/?ref_=sr_t_586
586,587. The Great Canadian Baking Show,2017–,"7.6
 (515)","A group of amateur Canadian bakers are convened for a baking competition. There is a theme to each week's competition, generally in the vein of the type of goods the competitors are to bake.",https://www.imdb.com/title/tt7332358/?ref_=sr_t_587
587,588. Gladiators,1992–2000,"6.5
 (1.5K)","Members of the public are pitted against superfit Gladiators in trials of strength, speed and stamina.",https://www.imdb.com/title/tt0144048/?ref_=sr_t_588
588,589. Mission Unstoppable with Miranda Cosgrove,2019–,"7.9
 (89)","Be inspired by female STEM (Science, Technology, Engineering and Math) superstars in leading fields including social media, entertainment, animals, design, and the internet - all categories key to the teen experience.",https://www.imdb.com/title/tt10999880/?ref_=sr_t_589
589,590. Jerma985,2011–,"9.8
 (602)",Unstable Bostonian man hallucinates having career as an online entertainer. He has committed various unspeakable crimes against humanity and has yet to be apprehended by authorities.,https://www.imdb.com/title/tt6439480/?ref_=sr_t_590
590,591. Noel's House Party,1991–1999,"6.3
 (358)","Set in Noel Edmonds' fictitious grand house in the equally fictitious town of Crinkley Bottom, the show centres around games involving the studio audience and special guest celebrities. Contestants can ""grab a grand"", home viewers can be caught out live in their own homes, and celebrities get their just deserts in the gunge tank.",https://www.imdb.com/title/tt0101155/?ref_=sr_t_591
591,592. Sarkaar,2021–,"7.5
 (21)","A question bidding show played with 4 celebrities and hosted by popular TV anchor Pradeep Machiraju. Show has that gripping and funny concept which makes you entertained through out the show. Aired in Aha OTT platform, weekly 1 ep.",https://www.imdb.com/title/tt15697234/?ref_=sr_t_592
592,593. Eva Longoria: Searching for Mexico,2023–,"7.4
 (285)",Following Eva Longoria as she travels Mexico to explore food ranging from tequila to mole sauce.,https://www.imdb.com/title/tt16428770/?ref_=sr_t_593
593,594. Girl Code,2013–,"7.3
 (1.3K)","A new, hilarious how-to manual full of over the top tips to push the envelope and open the dialogue about the wonders and woes of womanhood, covering everything from frenemies, girl fights and cutting bathroom lines to dancing, drinking and dating.",https://www.imdb.com/title/tt2801096/?ref_=sr_t_594
594,595. Youn's Kitchen,2017–2018,"8.8
 (185)",Youn's Kitchen is a popular South Korean reality travel show that follows the cast in their journey to a foreign destination where they open a pop-up restaurant for a few days.,https://www.imdb.com/title/tt7043460/?ref_=sr_t_595
595,596. Spooked: Ireland,2023–,"7.5
 (106)",Vogue Williams presents this paranormal investigation programme. The former model turned presenter leads a team of paranormal experts investigating some of Ireland's most haunted locations.,https://www.imdb.com/title/tt28454427/?ref_=sr_t_596
596,597. Pamela's Garden of Eden,2022–,"6.8
 (164)","""Pamela Anderson: Return to Paradise"" is a celebrity reality show on HGTV and Discovery+.",https://www.imdb.com/title/tt22898352/?ref_=sr_t_597
597,598. The Law of the Jungle,2023,"6.2
 (147)","Twelve people abandoned in the jungle must work as a team, or sabotage each other for a cut of a jackpot.",https://www.imdb.com/title/tt26745756/?ref_=sr_t_598
598,599. Making It,2018–2021,"7.9
 (1.7K)",Amy Poehler and Nick Offerman host a crafting series where incredibly talented people come together for a friendly competition.,https://www.imdb.com/title/tt6874206/?ref_=sr_t_599
599,600. The Cabin with Bert Kreischer,2020,"6.9
 (2.1K)","After years on the grind, Bert Kreischer sets out on a purifying retreat to a remote cabin.",https://www.imdb.com/title/tt11666848/?ref_=sr_t_600
600,601. Love Is Blind: Brazil,2021–,"6.2
 (779)","The dating experiment comes to Brazil as local singles look for true love and get engaged, all without meeting the other person face to face.",https://www.imdb.com/title/tt15018224/?ref_=sr_t_601
601,602. Bondi Vet,2009–2016,"7.5
 (367)","""Bondi vet"" follows the lives of veterinary surgeon Chris Brown at the Bondi Junction Veterinary Hospital, emergency veterinarian Lisa Chimes and specialist surgeon Andrew Marchevsky at the SASH in the Sydney suburbs and Tim Faulkner of the Australian Reptile Park.",https://www.imdb.com/title/tt1723626/?ref_=sr_t_602
602,603. The Heist,2018–,"7.1
 (134)",Ten people team up to nab a life-changing stash of hard cash in this Sky original production. But the heist is just the beginning. They'll then have to hide their share of the loot from a crack team of determined detectives.,https://www.imdb.com/title/tt9268106/?ref_=sr_t_603
603,604. Hope in the Wild,2018–,"9.3
 (60)",Follows Hope Swinimer and her dedicated team as they rescue and rehabilitate injured and orphaned animals of all kinds. Hope's passion for wildlife conservation shines through everything she does to lead her team on their mission.,https://www.imdb.com/title/tt9783836/?ref_=sr_t_604
604,605. Run for the Money,2022–,"7.2
 (418)","In a race with time, celebrity contestants desperately try to outmaneuver black-clad Hunters in pursuit, for a chance to win a growing cash prize.",https://www.imdb.com/title/tt22263614/?ref_=sr_t_605
605,606. RuPaul's Drag Race Live Untucked,2024–,"8.1
 (26)","A behind-the-scenes look at RuPaul's Drag Race Live, one of the hottest shows on the Las Vegas Strip.",https://www.imdb.com/title/tt29464638/?ref_=sr_t_606
606,607. The Contender,2005–,"7.4
 (808)",Hosts Sylvester Stallone and Sugar Ray Leonard give 16 young boxing hopefuls a shot at the big time in this Mark Burnett and Jeffrey Katzenberg reality drama.,https://www.imdb.com/title/tt0416359/?ref_=sr_t_607
607,608. Hack My Home,2023–,"6.3
 (796)","Shows worthy families with a different version of the same problem: they need more space, yet they don't want to move or go to the financial expense of remodeling their homes.",https://www.imdb.com/title/tt27999986/?ref_=sr_t_608
608,609. Celebrity Help! My House Is Haunted,2022–,"6.9
 (96)",The Help My House Is Haunted team are called in to investigate paranormal activity at the homes of British celebrities in this spin-off programme.,https://www.imdb.com/title/tt16007408/?ref_=sr_t_609
609,610. World's Toughest Race: Eco-Challenge Fiji,2020,"7.6
 (1.7K)",The ultimate team survival competition pits contestants in a series of grueling activities in a race around the globe.,https://www.imdb.com/title/tt8527842/?ref_=sr_t_610
610,611. Fixer Upper: Welcome Home,2021–,"7.6
 (328)","Chip and Jo are back with new ideas for turning outdated homes into jaw-dropping, innovative living spaces. Having expanded their business (and their family), the Gaineses now juggle more while renovating, which keeps things unpredictable.",https://www.imdb.com/title/tt13957038/?ref_=sr_t_611
611,612. Hotel Impossible,2012–2017,"7.8
 (1.2K)",Anthony Melchiorri travels to help inexperienced hotel owners save their hotels from closing down.,https://www.imdb.com/title/tt2129304/?ref_=sr_t_612
612,613. Bake Squad,2021–,"6.9
 (1.1K)",Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.,https://www.imdb.com/title/tt15078760/?ref_=sr_t_613
613,614. Come Dine with Me South Africa,2011–2024,"8.1
 (18)","A competition to find the ultimate dinner party host, Come Dine With Me South Africa will follow four people who have never previously met as they snoop around each other's homes, sample each other's cooking and pass judgment on each other's entertaining skills. Each night for a week the contestants take it in turns to cook up their idea of the perfect evening. As the guests travel home they give their verdict, and crucially, a mark out of ten. The contestant with the most points at the end of the week wins a cash prize and vouchers.",https://www.imdb.com/title/tt8908018/?ref_=sr_t_614
614,615. Skin Wars,2014–,"7.1
 (1.5K)",An hour-long competition show that seeks to find the most talented and versatile body painters in the country.,https://www.imdb.com/title/tt3231286/?ref_=sr_t_615
615,616. Survivor: Ponderosa,2015–,"8.4
 (21)",,https://www.imdb.com/title/tt5195910/?ref_=sr_t_616
616,617. The Inspired Unemployed (Impractical Jokers),2023–,"7.3
 (47)","The Inspired Unemployed Impractical Jokers have to do and say what they are told in secretly filmed challenges. If they refuse, they lose. At the end the joker that loses the most challenges takes on the ultimate punishment.",https://www.imdb.com/title/tt29382845/?ref_=sr_t_617
617,618. Gay Sex Ed,2021–,"8.1
 (19)","RuPaul's Drag Race queens Vanessa Vanjie Mateo and Kameron Michaels (aka Kamjie) take us to class. The surprisingly informative series features topics on all things 'Sex Ed' from a gay male perspective, with certified sex therapist Dr. Chris Donaghue providing his expert opinion on the topic of the week. Gay Sex Ed, it's everything you didn't learn in High School.",https://www.imdb.com/title/tt14915096/?ref_=sr_t_618
618,619. The Quest,2014–,"7.0
 (1.4K)","Fantasy meets reality as 12 contestants engage in epic challenges in the world of ""Everealm"", and compete to avoid ""banishment"" in order to become the one true hero that will save the kingdom.",https://www.imdb.com/title/tt2933118/?ref_=sr_t_619
619,620. Eurovision Song Contest Liverpool 2023,2023,"7.4
 (283)","67th edition of the annual Eurovision Song Contest from May 9th to May 13th, 2023 from Liverpool, United Kingdom, as Ukraine is unable to host the event due to the Russian invasion. Sweden wins with ""Tattoo"" performed by Loreen.",https://www.imdb.com/title/tt20243990/?ref_=sr_t_620
620,621. Ultimate Beastmaster,2017–2018,"7.2
 (2.8K)","Eighteen competitors from six countries compete against each other in an intense obstacle course for cash prizes, individual glory and national pride.",https://www.imdb.com/title/tt5607970/?ref_=sr_t_621
621,622. Two-A-Days: Hoover High,2006–2007,"6.8
 (297)","Follows the 2005 football season of the Hoover High School Buccaneers, of Hoover, Alabama.",https://www.imdb.com/title/tt0857350/?ref_=sr_t_622
622,623. Shed & Buried: Classic Cars,2024–,"9.0
 (8)","Henry team-up with Fuzz Townshend once again. The duo will be doing what they do best: digging in the nation's sheds, barns and outbuildings, this time to (hopefully) find a tidy profit in some vintage motors.",https://www.imdb.com/title/tt31862552/?ref_=sr_t_623
623,624. Sugar Rush,2018–2020,"7.0
 (1.8K)","A baking competition with 4 teams, 3 rounds, 2 cakes and 1 winner of $10,000.",https://www.imdb.com/title/tt8680560/?ref_=sr_t_624
624,625. Ex on the Beach Norge,2018–,"6.4
 (46)",Norwegian variant of the TV series Ex on the Beach,https://www.imdb.com/title/tt13398410/?ref_=sr_t_625
625,626. Tattoo Fixers,2015–,"6.7
 (326)",Four of the UK's best tattoo artists take on clients in their pop-up parlour in an attempt to change some of Britain's worst tattoos into walking works of art.,https://www.imdb.com/title/tt5307354/?ref_=sr_t_626
626,627. Celebrity Antiques Road Trip,2011–,"6.8
 (112)","A spin-off from Antiques Road Trip (2010) in which two teams consisting of an expert and a celebrity buy antiques to sell at auction, hoping to make a profit and give it to charity.",https://www.imdb.com/title/tt2161695/?ref_=sr_t_627
627,628. Flipping Bangers,2017–,"8.8
 (407)",Two car enthusiasts have just 5 days to flip a car that is headed for the scrap heap and double their money.,https://www.imdb.com/title/tt10219442/?ref_=sr_t_628
628,629. Clean House,2003–2011,"7.5
 (588)",One cluttered house at a time is made over by host Niecy Nash (Reno 911!) and her crew of interior designers and organizers. They decide what stays what goes--by way of a giant yard sale. Then the proceeds are invested as home makeover.,https://www.imdb.com/title/tt0381740/?ref_=sr_t_629
629,630. Naked Alone and Racing to Get Home,2023,"7.2
 (35)",Two teams are stripped bare of their possessions and race in the buff across the English countryside to win a cash prize - and their clothes.,https://www.imdb.com/title/tt27597165/?ref_=sr_t_630
630,631. The Khatra Show,2019–,"6.5
 (283)",The five popular television faces will feature in a rib-tickling show based on the concept of embarrassing dares and one-up man-ship.,https://www.imdb.com/title/tt9915686/?ref_=sr_t_631
631,632. Restaurants on the Edge,2019–2020,"6.8
 (1.1K)",Three food and design experts travel the world to revive failing restaurants by connecting them to the local culture beyond their gorgeous views.,https://www.imdb.com/title/tt8784324/?ref_=sr_t_632
632,633. BuzzFeed Unsolved: Supernatural,2016–2021,"8.7
 (1.8K)","Ryan, ever the believer, embarks on a quest to convince his skeptical friend Shane that the paranormal exists by investigating the evidence around the most notorious supernatural folklore.",https://www.imdb.com/title/tt6723522/?ref_=sr_t_633
633,634. Britain by Narrowboat,2020,"8.4
 (85)","In a last-ditch attempt to save his mental health, Colin and partner Shaun sell their home, possessions, and quit their jobs, spending their life savings building a canal narrowboat to cruise the waterways of Great Britain.",https://www.imdb.com/title/tt12740746/?ref_=sr_t_634
634,635. Selling Houses Australia,2008–,"8.6
 (181)",Selling Houses Australia provides current practical advice for home owners wanting to enter the property market. The team transform what the owners see as unsellable houses into spectacular homes which will be much easier to sell.,https://www.imdb.com/title/tt2238348/?ref_=sr_t_635
635,636. Freakshow,2013–2014,"7.3
 (433)","A family drama that centers on former music producer Todd Ray as he pursues his dream to own and operate his own Freakshow on the famed boardwalk in Venice Beach, CA.",https://www.imdb.com/title/tt2340178/?ref_=sr_t_636
636,637. Ozzy & Jack's World Detour,2016–,"8.4
 (868)",the self-proclaimed history nerds hit the road on a father-son journey they've waited years to take.,https://www.imdb.com/title/tt5725682/?ref_=sr_t_637
637,638. Dirty Sanchez,2003–,"6.7
 (1.8K)","Proving that daredevil idiots can be found all over the globe, three Welsh lads and one Londoner tackle an astounding array of painful and disgusting stunts resulting in blood, sweat, tears and laughter.",https://www.imdb.com/title/tt0380105/?ref_=sr_t_638
638,639. Caribbean Life,2014–,"6.9
 (121)",Families leave the mainland behind and head to the Caribbean to live on island time. They'll tour gorgeous homes on white sandy beaches and search for their own affordable slice of heaven.,https://www.imdb.com/title/tt3667052/?ref_=sr_t_639
639,640. Million Dollar House Hunters,2018–2023,"6.5
 (27)","A couple tours three extravagant mansions with luxuries like bowling alleys and rooftop pools, searching for the perfect high-end home.",https://www.imdb.com/title/tt8870610/?ref_=sr_t_640
640,641. The Amazing Race Australia,2011–,"7.6
 (371)","The Australian version of the reality/travel series where teams of people compete in a race around the world for the A$250,000 first prize.",https://www.imdb.com/title/tt1932308/?ref_=sr_t_641
641,642. Pressure Cooker,2023–,"6.4
 (1.1K)","Follows eleven chefs who will cook and cohabit with one another as they compete to become the ultimate chef's chef and win $100,000.",https://www.imdb.com/title/tt24224968/?ref_=sr_t_642
642,643. The Dudesons,2006–,"7.0
 (1.5K)",Four crazy lifelong friends perform pranks and outrageous stunts.,https://www.imdb.com/title/tt1409056/?ref_=sr_t_643
643,644. Landscape Artist of the Year,2015–,"8.3
 (151)",A British television competition for landscape painters that earns the winners a commission and art supplies.,https://www.imdb.com/title/tt5189210/?ref_=sr_t_644
644,645. Money for Nothing,2015–,"6.2
 (64)",Sarah Moore (and later also Jay Blades) rescues unwanted items from household waste and challenges expert craftspeople to transform them into desirable objects to be sold for a profit that is then given to the original owner.,https://www.imdb.com/title/tt11942952/?ref_=sr_t_645
645,646. MasterChef India,2010–,"6.2
 (245)",Chefs and food enthusiast from across India compete against each other to be crowned India's MasterChef.,https://www.imdb.com/title/tt7822166/?ref_=sr_t_646
646,647. Stacey Solomon's Renovation Rescue,2024–,"6.7
 (14)","Queen of DIY, Stacey Solomon comes to the aid of homeowners who've been left high and dry by their builders. She helps them salvage their half-built homes without breaking the bank.",https://www.imdb.com/title/tt32143448/?ref_=sr_t_647
647,648. Border Security: America's Front Line,2016–,"6.7
 (174)","Phony tourists here to work, belligerent visitors smuggling contraband, toys packed with heroin, weapons disguised as cell phones: all are just another day at the office for the Canada Border Services Agency.",https://www.imdb.com/title/tt9740998/?ref_=sr_t_648
